1;('1','2')
2;('2','1')
3;('1','4')
4;('4','1')
5;('2','7')
6;('7','2')
7;('2','8')
8;('8','2')
9;('2','4')
10;('4','2')
11;('4','3')
12;('3','4')
13;('3','10')
14;('10','3')
15;('3','12')
16;('12','3')
17;('7','5')
18;('5','7')
19;('7','8')
20;('8','7')
21;('5','6')
22;('6','5')
23;('6','18')
24;('18','6')
25;('8','9')
26;('9','8')
27;('8','10')
28;('10','8')
29;('9','14')
30;('14','9')
31;('9','18')
32;('18','9')
33;('9','10')
34;('10','9')
35;('12','11')
36;('11','12')
37;('12','13')
38;('13','12')
39;('11','13')
40;('13','11')
41;('13','15')
42;('15','13')
43;('13','14')
44;('14','13')
45;('15','16')
46;('16','15')
47;('18','16')
48;('16','18')
49;('16','17')
50;('17','16')
