2023-09-20 18:56:10,752 - onset-proc-1269018 - logger - <module> - INFO - Log file: logs/process_1269018_log.txt.
2023-09-20 18:56:12,032 - onset-proc-1269018 - simulator - __init__ - INFO - Nonce: ./.temp/2852318471d35a3c080eec7cd1ac67e848f6997d
2023-09-20 18:56:12,032 - onset-proc-1269018 - simulator - __init__ - INFO - Initializing simulator: surfNet coremelt_onset_coremelt 136
2023-09-20 18:56:12,032 - onset-proc-1269018 - simulator - _init_logging - INFO - Experiment ID:            surfNet_coremelt_onset_coremelt_1__-mcf
2023-09-20 18:56:12,032 - onset-proc-1269018 - simulator - verify_topo - INFO - topology file check passed with base topology file: /gpfs/projects/durairajanlab/mhall7/topology-programming/data/graphs/gml/surfNet.gml.
2023-09-20 18:56:12,072 - onset-proc-1269018 - alpwolf - add_circuit - WARNING - edge ('1', '2') is present in self.logical_graph
2023-09-20 18:56:12,072 - onset-proc-1269018 - alpwolf - add_circuit - WARNING - edge ('2', '4') is present in self.logical_graph
2023-09-20 18:56:12,072 - onset-proc-1269018 - alpwolf - add_circuit - WARNING - edge ('2', '9') is present in self.logical_graph
2023-09-20 18:56:12,072 - onset-proc-1269018 - alpwolf - add_circuit - WARNING - edge ('3', '4') is present in self.logical_graph
2023-09-20 18:56:12,072 - onset-proc-1269018 - alpwolf - add_circuit - WARNING - edge ('3', '7') is present in self.logical_graph
2023-09-20 18:56:12,073 - onset-proc-1269018 - alpwolf - add_circuit - WARNING - edge ('3', '42') is present in self.logical_graph
2023-09-20 18:56:12,073 - onset-proc-1269018 - alpwolf - add_circuit - WARNING - edge ('4', '50') is present in self.logical_graph
2023-09-20 18:56:12,073 - onset-proc-1269018 - alpwolf - add_circuit - WARNING - edge ('5', '8') is present in self.logical_graph
2023-09-20 18:56:12,073 - onset-proc-1269018 - alpwolf - add_circuit - WARNING - edge ('5', '9') is present in self.logical_graph
2023-09-20 18:56:12,073 - onset-proc-1269018 - alpwolf - add_circuit - WARNING - edge ('5', '10') is present in self.logical_graph
2023-09-20 18:56:12,074 - onset-proc-1269018 - alpwolf - add_circuit - WARNING - edge ('6', '9') is present in self.logical_graph
2023-09-20 18:56:12,074 - onset-proc-1269018 - alpwolf - add_circuit - WARNING - edge ('6', '48') is present in self.logical_graph
2023-09-20 18:56:12,074 - onset-proc-1269018 - alpwolf - add_circuit - WARNING - edge ('7', '8') is present in self.logical_graph
2023-09-20 18:56:12,074 - onset-proc-1269018 - alpwolf - add_circuit - WARNING - edge ('9', '31') is present in self.logical_graph
2023-09-20 18:56:12,074 - onset-proc-1269018 - alpwolf - add_circuit - WARNING - edge ('9', '32') is present in self.logical_graph
2023-09-20 18:56:12,074 - onset-proc-1269018 - alpwolf - add_circuit - WARNING - edge ('9', '33') is present in self.logical_graph
2023-09-20 18:56:12,075 - onset-proc-1269018 - alpwolf - add_circuit - WARNING - edge ('9', '36') is present in self.logical_graph
2023-09-20 18:56:12,075 - onset-proc-1269018 - alpwolf - add_circuit - WARNING - edge ('9', '37') is present in self.logical_graph
2023-09-20 18:56:12,075 - onset-proc-1269018 - alpwolf - add_circuit - WARNING - edge ('9', '39') is present in self.logical_graph
2023-09-20 18:56:12,075 - onset-proc-1269018 - alpwolf - add_circuit - WARNING - edge ('9', '48') is present in self.logical_graph
2023-09-20 18:56:12,075 - onset-proc-1269018 - alpwolf - add_circuit - WARNING - edge ('10', '33') is present in self.logical_graph
2023-09-20 18:56:12,076 - onset-proc-1269018 - alpwolf - add_circuit - WARNING - edge ('11', '12') is present in self.logical_graph
2023-09-20 18:56:12,076 - onset-proc-1269018 - alpwolf - add_circuit - WARNING - edge ('12', '20') is present in self.logical_graph
2023-09-20 18:56:12,076 - onset-proc-1269018 - alpwolf - add_circuit - WARNING - edge ('12', '24') is present in self.logical_graph
2023-09-20 18:56:12,077 - onset-proc-1269018 - alpwolf - add_circuit - WARNING - edge ('13', '31') is present in self.logical_graph
2023-09-20 18:56:12,077 - onset-proc-1269018 - alpwolf - add_circuit - WARNING - edge ('14', '15') is present in self.logical_graph
2023-09-20 18:56:12,078 - onset-proc-1269018 - alpwolf - add_circuit - WARNING - edge ('14', '31') is present in self.logical_graph
2023-09-20 18:56:12,078 - onset-proc-1269018 - alpwolf - add_circuit - WARNING - edge ('15', '16') is present in self.logical_graph
2023-09-20 18:56:12,078 - onset-proc-1269018 - alpwolf - add_circuit - WARNING - edge ('15', '43') is present in self.logical_graph
2023-09-20 18:56:12,078 - onset-proc-1269018 - alpwolf - add_circuit - WARNING - edge ('15', '46') is present in self.logical_graph
2023-09-20 18:56:12,078 - onset-proc-1269018 - alpwolf - add_circuit - WARNING - edge ('16', '17') is present in self.logical_graph
2023-09-20 18:56:12,078 - onset-proc-1269018 - alpwolf - add_circuit - WARNING - edge ('17', '18') is present in self.logical_graph
2023-09-20 18:56:12,079 - onset-proc-1269018 - alpwolf - add_circuit - WARNING - edge ('18', '19') is present in self.logical_graph
2023-09-20 18:56:12,079 - onset-proc-1269018 - alpwolf - add_circuit - WARNING - edge ('19', '20') is present in self.logical_graph
2023-09-20 18:56:12,079 - onset-proc-1269018 - alpwolf - add_circuit - WARNING - edge ('20', '25') is present in self.logical_graph
2023-09-20 18:56:12,079 - onset-proc-1269018 - alpwolf - add_circuit - WARNING - edge ('20', '31') is present in self.logical_graph
2023-09-20 18:56:12,079 - onset-proc-1269018 - alpwolf - add_circuit - WARNING - edge ('21', '22') is present in self.logical_graph
2023-09-20 18:56:12,080 - onset-proc-1269018 - alpwolf - add_circuit - WARNING - edge ('21', '27') is present in self.logical_graph
2023-09-20 18:56:12,080 - onset-proc-1269018 - alpwolf - add_circuit - WARNING - edge ('22', '29') is present in self.logical_graph
2023-09-20 18:56:12,080 - onset-proc-1269018 - alpwolf - add_circuit - WARNING - edge ('23', '31') is present in self.logical_graph
2023-09-20 18:56:12,080 - onset-proc-1269018 - alpwolf - add_circuit - WARNING - edge ('23', '38') is present in self.logical_graph
2023-09-20 18:56:12,080 - onset-proc-1269018 - alpwolf - add_circuit - WARNING - edge ('24', '31') is present in self.logical_graph
2023-09-20 18:56:12,080 - onset-proc-1269018 - alpwolf - add_circuit - WARNING - edge ('25', '28') is present in self.logical_graph
2023-09-20 18:56:12,081 - onset-proc-1269018 - alpwolf - add_circuit - WARNING - edge ('26', '28') is present in self.logical_graph
2023-09-20 18:56:12,081 - onset-proc-1269018 - alpwolf - add_circuit - WARNING - edge ('26', '38') is present in self.logical_graph
2023-09-20 18:56:12,081 - onset-proc-1269018 - alpwolf - add_circuit - WARNING - edge ('27', '28') is present in self.logical_graph
2023-09-20 18:56:12,081 - onset-proc-1269018 - alpwolf - add_circuit - WARNING - edge ('27', '30') is present in self.logical_graph
2023-09-20 18:56:12,081 - onset-proc-1269018 - alpwolf - add_circuit - WARNING - edge ('29', '30') is present in self.logical_graph
2023-09-20 18:56:12,082 - onset-proc-1269018 - alpwolf - add_circuit - WARNING - edge ('31', '32') is present in self.logical_graph
2023-09-20 18:56:12,082 - onset-proc-1269018 - alpwolf - add_circuit - WARNING - edge ('31', '37') is present in self.logical_graph
2023-09-20 18:56:12,082 - onset-proc-1269018 - alpwolf - add_circuit - WARNING - edge ('31', '39') is present in self.logical_graph
2023-09-20 18:56:12,082 - onset-proc-1269018 - alpwolf - add_circuit - WARNING - edge ('33', '34') is present in self.logical_graph
2023-09-20 18:56:12,082 - onset-proc-1269018 - alpwolf - add_circuit - WARNING - edge ('33', '39') is present in self.logical_graph
2023-09-20 18:56:12,082 - onset-proc-1269018 - alpwolf - add_circuit - WARNING - edge ('33', '40') is present in self.logical_graph
2023-09-20 18:56:12,083 - onset-proc-1269018 - alpwolf - add_circuit - WARNING - edge ('34', '35') is present in self.logical_graph
2023-09-20 18:56:12,083 - onset-proc-1269018 - alpwolf - add_circuit - WARNING - edge ('35', '36') is present in self.logical_graph
2023-09-20 18:56:12,083 - onset-proc-1269018 - alpwolf - add_circuit - WARNING - edge ('38', '39') is present in self.logical_graph
2023-09-20 18:56:12,083 - onset-proc-1269018 - alpwolf - add_circuit - WARNING - edge ('39', '40') is present in self.logical_graph
2023-09-20 18:56:12,083 - onset-proc-1269018 - alpwolf - add_circuit - WARNING - edge ('41', '42') is present in self.logical_graph
2023-09-20 18:56:12,084 - onset-proc-1269018 - alpwolf - add_circuit - WARNING - edge ('41', '50') is present in self.logical_graph
2023-09-20 18:56:12,084 - onset-proc-1269018 - alpwolf - add_circuit - WARNING - edge ('43', '45') is present in self.logical_graph
2023-09-20 18:56:12,084 - onset-proc-1269018 - alpwolf - add_circuit - WARNING - edge ('43', '47') is present in self.logical_graph
2023-09-20 18:56:12,084 - onset-proc-1269018 - alpwolf - add_circuit - WARNING - edge ('44', '45') is present in self.logical_graph
2023-09-20 18:56:12,084 - onset-proc-1269018 - alpwolf - add_circuit - WARNING - edge ('44', '47') is present in self.logical_graph
2023-09-20 18:56:12,084 - onset-proc-1269018 - alpwolf - add_circuit - WARNING - edge ('46', '48') is present in self.logical_graph
2023-09-20 18:56:12,085 - onset-proc-1269018 - alpwolf - add_circuit - WARNING - edge ('47', '48') is present in self.logical_graph
2023-09-20 18:56:12,085 - onset-proc-1269018 - alpwolf - add_circuit - WARNING - edge ('48', '49') is present in self.logical_graph
2023-09-20 18:56:12,085 - onset-proc-1269018 - alpwolf - add_circuit - WARNING - edge ('49', '50') is present in self.logical_graph
2023-09-20 18:56:12,459 - onset-proc-1269018 - simulator - _system - INFO - Calling system command: yates /gpfs/projects/durairajanlab/mhall7/topology-programming/data/results/surfNet_coremelt_onset_coremelt_1__-mcf/surfNet_8-1-136_circuits-1_startIter-8_endIter-8_repeat-True_unit-Gbps_demandFactor-1.dot ./.temp/2852318471d35a3c080eec7cd1ac67e848f6997d ./.temp/2852318471d35a3c080eec7cd1ac67e848f6997d /gpfs/projects/durairajanlab/mhall7/topology-programming/data/hosts/surfNet.hosts -mcf -num-tms 1 -out surfNet_coremelt_onset_coremelt_1__-mcf/surfNet_8-1-136_circuits-1_startIter-8_endIter-8_repeat-True_unit-Gbps_demandFactor-1 -budget 3 >> ./.temp/2852318471d35a3c080eec7cd1ac67e848f6997d_yates.out
